forecast_date,target,target_end_date,location,age_group,type,quantile,value,pathogen
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,05-14,quantile,0.025,21,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,05-14,quantile,0.1,21,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,05-14,quantile,0.25,21,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,05-14,quantile,0.5,22,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,05-14,quantile,0.75,24,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,05-14,quantile,0.9,26,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,05-14,quantile,0.975,28,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,15-34,quantile,0.025,142,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,15-34,quantile,0.1,142,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,15-34,quantile,0.25,142,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,15-34,quantile,0.5,142,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,15-34,quantile,0.75,144,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,15-34,quantile,0.9,145,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,15-34,quantile,0.975,147,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,35-59,quantile,0.025,342,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,35-59,quantile,0.1,345,COVID-19
2021-07-01,-23 day ahead inc hosp,2021-06-08,DE,35-59,quantile,0.25,348,COVID-19
