date,location,age_group,value
2020-11-23,GM12,35-59,15
2020-11-23,GM12,60-79,28
2020-11-23,GM12,80+,26
2020-11-23,GM13,00-04,4
2020-11-23,GM13,00+,734
2020-11-23,GM13,05-14,8
2020-11-23,GM13,15-34,28
2020-11-23,GM13,35-59,98
2020-11-23,GM13,60-79,280
2020-11-23,GM13,80+,316
2020-11-23,GM14,00-04,0
2020-11-23,GM14,00+,185
2020-11-23,GM14,05-14,2
2020-11-23,GM14,15-34,6
2020-11-23,GM14,35-59,43
2020-11-23,GM14,60-79,64
2020-11-23,GM14,80+,70
2020-11-23,GM15,00-04,1
2020-11-23,GM15,00+,250
2020-11-23,GM15,05-14,2
2020-11-23,GM15,15-34,8
2020-11-23,GM15,35-59,25
2020-11-23,GM15,60-79,98
2020-11-23,GM15,80+,116
2020-11-22,GM,00-04,65
2020-11-22,GM,00+,7996
2020-11-22,GM,05-14,51
2020-11-22,GM,15-34,614
2020-11-22,GM,35-59,1640
2020-11-22,GM,60-79,2825
2020-11-22,GM,80+,2801
2020-11-22,GM10,00-04,0
2020-11-22,GM10,00+,91
2020-11-22,GM10,05-14,2
2020-11-22,GM10,15-34,13
2020-11-22,GM10,35-59,24
2020-11-22,GM10,60-79,35
2020-11-22,GM10,80+,17
2020-11-22,GM04,00-04,2
2020-11-22,GM04,00+,135
2020-11-22,GM04,05-14,0
2020-11-22,GM04,15-34,4
2020-11-22,GM04,35-59,36
2020-11-22,GM04,60-79,47
2020-11-22,GM04,80+,46
2020-11-22,GM06,00-04,3
2020-11-22,GM06,00+,384
2020-11-22,GM06,05-14,3
2020-11-22,GM06,15-34,40
2020-11-22,GM06,35-59,88
2020-11-22,GM06,60-79,134
2020-11-22,GM06,80+,116
2020-11-22,GM03,00-04,0
2020-11-22,GM03,00+,65
2020-11-22,GM03,05-14,1
2020-11-22,GM03,15-34,3
2020-11-22,GM03,35-59,18
2020-11-22,GM03,60-79,17
2020-11-22,GM03,80+,26
2020-11-22,GM07,00-04,21
2020-11-22,GM07,00+,1897
2020-11-22,GM07,05-14,10
2020-11-22,GM07,15-34,173
2020-11-22,GM07,35-59,463
2020-11-22,GM07,60-79,662
2020-11-22,GM07,80+,568
2020-11-22,GM05,00-04,10
2020-11-22,GM05,00+,830
2020-11-22,GM05,05-14,3
2020-11-22,GM05,15-34,75
2020-11-22,GM05,35-59,194
2020-11-22,GM05,60-79,286
2020-11-22,GM05,80+,262
2020-11-22,GM08,00-04,2
2020-11-22,GM08,00+,267
2020-11-22,GM08,05-14,1
2020-11-22,GM08,15-34,17
2020-11-22,GM08,35-59,48
2020-11-22,GM08,60-79,101
2020-11-22,GM08,80+,98
2020-11-22,GM01,00-04,7
2020-11-22,GM01,00+,1031
2020-11-22,GM01,05-14,8
2020-11-22,GM01,15-34,92
2020-11-22,GM01,35-59,186
2020-11-22,GM01,60-79,353
2020-11-22,GM01,80+,385
